ID,SIDO_NAME,SIGUNGU_NAME,REMARKS,SHEL_NM,ADDRESS,SHEL_AV,LENTH,SHEL_DIV_TYPE,SEISMIC,HEIGHT,MANAGE_GOV,TEL,DT_REGT,DEL_YN,LON,LAT
순번,시도명,시군구명,지역명,대피소명,주소,수용가능인원,길이,대피소 타입(1.공공건축물 2.공터 3.도로변 4.민간건축물 5.학교운동장),내진여부,높이,행정구역코드,연락처,등록일자,삭제여부,,
352,경상북도,포항시북구,방어지구(포항),월포백번횟집앞,경상북도 포항시 북구 청하면 방어리 산16,200,690,공터,null,12,47113,054-270-3148,2.02401E+13,N,129.376633,36.208705
455,경상북도,영덕군,삼사지구,삼사공원입구1,경상북도 영덕군 강구면 해상공원길 9,500,250,도로변,null,27,47770,054-730-6521,2.02401E+13,N,129.382064,36.345435
454,경상북도,영덕군,사진3지구,마을뒤야산,경상북도 영덕군 영해면 공수진길 44,100,150,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.437517,36.538747
453,경상북도,영덕군,사진2지구,마을뒤 공터,경상북도 영덕군 영해면 괴시사진길 319,150,150,공터,null,40,47770,054-730-6521,2.02401E+13,N,129.43915,36.531065
451,경상북도,영덕군,부흥지구,마을회관,경상북도 영덕군 남정면 부흥1길 27,300,130,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.376502,36.291838
450,경상북도,영덕군,부경지구,힐링턴콘도,경상북도 영덕군 남정면 동해대로 3478,400,90,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.377074,36.27232363
449,경상북도,영덕군,병곡지구,병곡휴게소,경상북도 영덕군 병곡면 흰돌로 20,800,600,공터,null,41,47770,054-730-6521,2.02401E+13,N,129.413252,36.606215
447,경상북도,영덕군,백석2지구,동해안휴게소,경상북도 영덕군 병곡면 동해대로 7656,300,300,공터,null,59,47770,054-730-6521,2.02401E+13,N,129.410934,36.623494
446,경상북도,영덕군,백석2지구,7번국도변(백석지구),경상북도 영덕군 병곡면 동해대로 7686,300,300,공터,null,59,47770,054-730-6521,2.02401E+13,N,129.399682,36.576534
445,경상북도,영덕군,백석1지구,철암산 2,경상북도 영덕군 병곡면 백석길 11-12,300,400,공터,null,56,47770,054-730-6521,2.02401E+13,N,129.409739,36.619014
442,경상북도,영덕군,대탄지구,대탄갈릴리교회 뒤,경상북도 영덕군 영덕읍 대탄길 14-5,130,330,공터,null,10,47770,054-730-6521,2.02401E+13,N,129.4309027,36.43558796
441,경상북도,영덕군,대탄지구,창호민박뒤,경상북도 영덕군 영덕읍 대탄1길 7,130,260,공터,null,49,47770,054-730-6521,2.02401E+13,N,129.432269,36.433843
440,경상북도,영덕군,대진3지구,마을뒤 야산 2,경상북도 영덕군 영해면 건달길 11-21,150,70,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.438802,36.550626
439,경상북도,영덕군,대진2지구,마을뒤 야산 1,경상북도 영덕군 영해면 관대길 77,200,150,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.428568,36.556292
438,경상북도,영덕군,대진1지구,대진1리 마을뒤 야산,경상북도 영덕군 영해면 대진리 산10-7,160,230,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.428274,36.56187
434,경상북도,영덕군,노물지구,지미슈퍼뒤 공터,경상북도 영덕군 영덕읍 영덕대게로 1296,20,250,공터,null,35,47770,054-730-6521,2.02401E+13,N,129.43293,36.447001
432,경상북도,영덕군,노물지구,선창횟집 뒤,경상북도 영덕군 영덕읍 노물2길 12,20,320,공터,null,45,47770,054-730-6521,2.02401E+13,N,129.43115,36.446269
431,경상북도,영덕군,노물지구,구)보건소 맞은편,경상북도 영덕군 영덕읍 노물1길 15,35,370,공터,null,42,47770,054-730-6521,2.02401E+13,N,129.431069,36.446812
430,경상북도,영덕군,노물지구,경노회관뒤 골목,경상북도 영덕군 영덕읍 노물길 11-8,25,140,공터,null,48,47770,054-730-6521,2.02401E+13,N,129.434362,36.446471
429,경상북도,영덕군,남호지구,웰빙문화테마마을입구,경상북도 영덕군 남정면 동해대로 4165-17,70,600,공터,null,28,47770,054-730-6521,2.02401E+13,N,129.3775171,36.32953985
428,경상북도,영덕군,남호지구,남호승강장,경상북도 영덕군 남정면 남호리 119-2,100,120,공터,null,30,47770,054-730-6521,2.02401E+13,N,129.373778,36.333401
427,경상북도,영덕군,금진2지구,풍성호뒤,경상북도 영덕군 강구면 영덕대게로 221-16,50,70,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.394469,36.368648
426,경상북도,영덕군,금진2지구,소하민박뒤,경상북도 영덕군 강구면 영덕대게로 229-10,50,70,공터,null,20,47770,054-730-6521,2.02401E+13,N,129.395274,36.369197
425,경상북도,영덕군,금진2지구,금진택지입구,경상북도 영덕군 강구면 금진길 14-4,200,180,공터,null,22,47770,054-730-6521,2.02401E+13,N,129.393826,36.366124
